tid,problem_excerpt
20307,"hi there, i attached the key to my software and it has connected but when im trying to solve captchas its not working. is it maybe because my software runs it in the back and it..."
20375,"Dear technical support team, I am currently working on a project where I need to use the API to generate and query IDs. I have been testing the ID generation through the POST me..."
20446,hi. i am having issues with case sensitive captchas by using captchaai. it always return answer in small alphabets. i want it to return answer always in case sensitive letters. ...
20617,"I Test using this code but the response is &quot;CaptchaAI INTERNAL ERROR: PROBABLY, INCORRECT REQUEST&quot; Can you help me? const axios = require('axios'); const fs = require(..."
49091,"Dear, Welcome to CaptchaAi, Glad to help you Can you please tell me more about your issue so that I can be able to assist you?"
49096,"Dear, Welcome to CaptchaAi Actually, Coding support is limited here, But I will send it to the developer team if there is a chance to support us with that and help in debugging...."
49103,"Dear, Glad to help you Can you please tell me more about your issue so that I can be able to assist you?"
49143,Send the request through API to solve hCaptcha. Waited for around 3 minutes and get the response 'ERROR_CAPTCHA_UNSOLVABLE'. I added the required parameters in the GET request a...
49257,"Dear Chonchol, Kindly note that I've addressed your issue on a different ticket #49258. Follow up with your request there and I am going to close this ticket. Thanks for your un..."
49350,"Dear, May I learn more about the error you got while solving your Captchas so as to be able to assist you better? More so, you can also go through this link to check if you're n..."
49469,"Dear Natalia T, Welcome to CaptchaAi There might have been some downtime, but our servers are now back to work. Try again and let us know if you still have any issues."
49637,"İt is a nft buy sell automation program made by us. İt is going to work on crypto.com, we are developing it with python and application needs to solve the captcha problem on eve..."
49657,I can't solve this site's captcha using your api url : https://play.hit23.club/ query string parameter : ar: 1 k: 6LcRfskaAAAAAPLbAdyH3WCygmXJ4KWietpBc_UA co: aHR0cHM6Ly9wbGF5Lm...
49747,normal captcha example public async Task&lt;string&gt; PostSolve() { byte[] bytes = File.ReadAllBytes(&quot;Captcha.jpg&quot;); string base64string = Convert.ToBase64String(byte...
49848,"Dear, We apologize for any inconveniences. Please provide a screenshot of the error you encountered during this process so that we can investigate and offer further assistance. ..."
49939,"Hi, I understand your request And we are already aware of this issue, currently it is hard to use custom useragent while solving hCaptcha so if the result token you got from us ..."
49967,Please let me know more about your problem
50045,"Hello, i have problem with solving HCaptcha, here is my data &quot;c370dc2a-e9f7-46b4-a261-05f7a7e14d6c&quot;, &quot;https://gopulse.com&quot; Error: ERROR_CAPTCHA_UNSOLVABLE I ..."
50141,"import easyimap def email_imap_tool(email_address, password): try: # 连接到 Outlook.com 的 IMAP 服务器 imapper = easyimap.connect('outlook.office365.com', email_address, password) # 遍历..."
51020,"Hello, im using your api to solve normal captchas but I have issues with the response im getting, because I need the captcha value to be case sensitive but im getting a response..."
51062,"Hello! I'm trying to resolve reCAPTCHA v3 when logging in via captchaai, https://www.warframe.com/login. But I tried everything from 0.3 to 0.9 and all returned verification fai..."
51068,"Dear Guilherme, Welcome to CaptchaAI We apologize for any inconvenience that may occur There have been some updates regarding this type of captcha. Have you tried again? The iss..."
51241,"Dear Mohammed Ubeadulla, Welcome to CaptchaAI Your issue has been forwarded to our internal team. We appreciate your patience and understanding."
51270,"Hi, I'm trying to solve the captchas for habbo.fr, with anticaptcha.com it works. Its invisible hcaptcha For this, I send: submit_url = &quot;https://ocr.captchaai.com/in.php&qu..."
51275,Hi. we are experiencing issues when trying to resolve hcaptcha challenges we are always receiving the ERROR_CAPTCHA_UNSOLVABLE error.
51380,"import requests import time # Send request to solve hCaptcha def solve_hcaptcha(api_key, site_key, page_url): # Submit request to solve hCaptcha solve_request = requests.get(f&q..."
51389,"I can't do it, can you send me the complete request with the correct form please here is my information for recaptcha v3 api key = 36bc958652695bc03065ddffbc61657d googlekey = 6..."
51436,"Hello, every hcaptcha request I make gets the same error: ERROR_CAPTCHA_UNSOLVABLE Here is the request url I'm using: https://ocr.captchaai.com/in.php?key=dfffae8c9cbeec5042eabf..."
51557,I'm loosing a lot of money cause of that downtime yesterday and now with that solving rate... I expect a reply from you why this happened and how you would like to solve this is...
51581,Dear captchaAi. Other services usually take 1 or 2 days in building a custom module for free. But captchaAi takes much time. In weeks usually. Kindly fix this issue for customer...
51727,"my code in js async function submitCaptcha(apiKey, base64Image) { try { const response = await fetch('https://ocr.captchaai.com/in.php', { method: 'POST', headers: { 'Content-Ty..."
51781,"The documentation says that &quot;Currently it's almost impossible to get token with score higher than 0.3&quot;. This means that if I specify a min_score greater than 0.3, ther..."
51795,"Dear, Welcome to CaptchaAi Have you tried our other modules here? https://captchaai.com/custom-images.php If you can't find the right module for you, you can provide us with the..."
51817,"Hi, Thank you for your question regarding reCAPTCHA v3 token scores. Here’s a detailed explanation to help you understand the min_score parameter and how it works: If you specif..."
51844,I would like to follow-up on this. Is there any update regarding this issue? We would highly appreciate if you could expedite resolution of this issue. Thanks
51846,Today the service is unstable and constantly showing the error api_connection_error Can you help me asap? Thanks.
51859,"Hello there, My friend recently got a 5 thread key, he asked me to make him a program that logs into a account. However it keeps saying that the recpacha is invalid and I'm just..."
51880,"Hello, I hope this message finds you well. I am writing to seek assistance with a Python script I am using to solve CAPTCHA images through the CaptchaAI service. I you could pro..."
